EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
NO,2001_2021_ MODIS _NDVI_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global MODIS data for Normalised Difference Vegetation Index (NDVI) derived from the MOD13A2 Product from USGS. the period 2001 2021 and is an update of the previous 2011 - 2019 series The imagery summarises a key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 MODIS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The MOD13A2 product contains an 16-day average of NDVI at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: the Index values were extracted from MOD13A2 files for the years 2001 through to 2021, as an update of the 2001-2019 series, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The MO at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 21 refers to the year timeline from 2001-2021.
 
 The next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 1000
 NDVI (14) and EVI (15) A0, Min, Max, Index Value * 1000 + 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100""","MODISS, NVDI, Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/tfamodis01211k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_er_0121_14_a1.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120011,11
NO,2001_2008-2022_ERA5_SoilMoisture_ER_5k,"soil moisture for WNV. 

Abstract: Soil moisture data have been downloaded from ECWMF ERA5 reanalysis dataset then windowed to provide 5km ratser datasets for the MOOD extent for the years 2001, 2008- 2022","era5, soil moisture, 5km","ERGO
","William Wint (william.wint@gmail.com)
","2001 , 2008-2022",Yes,https://tinyurl.com/era5soilmoisture01225k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_era5soilmoist2020oct.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120012,12
NO,2006_2022_MODIS_EnhancedVegetationIndex_5k_ER,"MODIS 16 day Enhanced Vegetation Index, 5km, 2001-2021. 

Abstract: This is a reduced 5km resolution version of the 1km data used for Fourier Processed outputs provided in other datasets. Itis designed for use with administraytive level analysis which need to used covariate data that temporally matches the modelled variable. The data are directly extracted from the NASA archive and windowed for the MOOD study area.","MODIS, 5km, Enhanced Vegegation Index","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/modis0119,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/overview_moodeviApr_22_5k.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120013,13
NO,2015_MODIS_RelativeHumidity_FourierProcessed,"This is a set of images produced by temporal Fourier analysis of global MODIS data for Middle Infra Red (MID) derived from the MOD11A2 Product from USGS. The imagery summarises a key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 MODIS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The MOD11A2 product contains an 8-day average of MIR at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture.","MODIS, Yearly,RelativeHumidity, Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2015,Yes,https://tinyurl.com/tfarhmodis1021,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_82094a1.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120014,14
NO,2010_2022_ERA5_MonthlyPrecipitation_5k,"Precipitation from the ERA5 reanalysis archive supplied by the European Centre ofr Medium Range Weather Forecasting for 2010 - 2022. 

Abstract: Precipitation from the ERA5 reanalysis archive supplied by the European Centre for Medium Range Weather Forecasting . for 2010 - 2022 . The original data is at 0.25 degree resolution and wasdownscaled by ERA extraction algroithms. The daily data have been aggregated to dekadal, monthly, and annual datasets to match the outputs produced by NASA from the MODIS imagery temperature and vegetation Index datasets. The resolution was also chosen to match these MODIS datasets.","ERA5, Precipitation, 5km","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/Era5Preciptation10215km,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_era__pr__mon22_5k.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120015,15
NO,2010_2022_MODIS_LandSurfaceTemperature_5k_ER,"MODIS daily, decadal monthly and annual land surface Temperature, 5km, 2010-2020. 

Abstract: this is a reduced 5km resolution version of the 1km data used for Fourier Processed outputs provided in other datasets. Itis designed for use with administraytive level analysis which need to used covariate data that temporally matches the modelled variable. The data are directly extracted from the NASA archive and windowed for the MOOD study area.","MODIS ,5k, Land Surface Temperature","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/modis0119,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/overview_moodlstApr_22_5k.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120016,16
NO,2012_2020_ VIIRS _Channel3_MiddleInfraRed_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global VIIRS data for Middle Infra Red (MIR) derived from the VNP13A2 Product from USGS. The imagery summarises a key environmental indicator, incorporating seasonal dynamics, for the MOOD study area. VIIRS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The VNP13A2 product contains an 8-day average of MIR at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: Temperatures were extracted from VNP13A2 files for the years 2012 through to 2020, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The ER at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 20 refers to the year timeline of 2012-2020.
  
 19 referes to he code give to PrecipitationThe next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 1000
 NDVI (14) and EVI (15) A0, Min, Max, Index Value * 1000 + 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100)","VIIRS,MIR,Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/tfaviirs12201k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er2003a0.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120017,17
NO,2012_2020_ VIIRS _EVI_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global VIIRS data for Enhanced Vegetation Index (EVI) derived from the VNP13A2 Product from USGS. The imagery summarises a key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 VIIRS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. TheVNP13A2 product contains an 16-day average of EVI at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: Temperatures were extracted from VNP13A2 files for the years 2012 through to 2020, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The ER at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 20 refers to the year timeline of 2012-2020.
  
 19 referes to he code give to PrecipitationThe next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 1000
 NDVI (14) and EVI (15) A0, Min, Max, Index Value * 1000 + 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100)","VIIRS, NVDI, Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/tfaviirs12201k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er2015a0.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120018,18
NO,2012_2020_ VIIRS _LandSurfaceDayTemperature_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global VIIRS data 07 - DLST: Day-time Land Surface Temperature derived from the VNP21A2 Product from USGS. The imagery summarises some key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 VIIRS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The VNP21A2 product contains an 8-day average of land surface temperature at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: Temperatures were extracted from VNP21A2 files for the years 2012 through to 2020, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The ER at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 20 refers to the year timeline of 2012-2020.
  
 19 referes to he code give to PrecipitationThe next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 1000
 NDVI (14) and EVI (15) A0, Min, Max, Index Value * 1000 + 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100)","VIIRS, Seasonal daytime Land Temperature, Fourier Processing","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/tfaviirs12201k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er2003a0.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120019,19
NO,2012_2020_ VIIRS _LandSurfaceNightTemperature_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global VIIRS data 08 - NLST: Night-time Land Surface Temperature derived from the VNP21A2 Product from USGS. The imagery summarises a key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 VIIRS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The VNP21A2 product contains an 8-day average of land surface temperature at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: Temperatures were extracted from VNP21A2 files for the years 2012 through to 2020, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The ER at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 20 refers to the year timeline of 2012-2020.
  
 19 referes to he code give to PrecipitationThe next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 1000
 NDVI (14) and EVI (15) A0, Min, Max, Index Value * 1000 + 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100)","VIIRS, Seasonal night time Land Temperature, Fourier Processing","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/tfaviirs12201k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er2008a0.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120020,20
NO,2012_2020_ VIIRS _NDVI_FourierProcessed_ER,"This is a set of images produced by temporal Fourier analysis of global VIIRS data for Normalised Difference Vegetation Index (NDVI) derived from the VNP13A2 Product from USGS. The imagery summarises a key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 VIIRS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The VNP13A2 product contains an 16-day average of NDVI at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: Temperatures were extracted from VNP13A2 files for the years 2012 through to 2020, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The ER at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 20 refers to the year timeline of 2012-2020.
  
 19 referes to he code give to PrecipitationThe next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 1000
 NDVI (14) and EVI (15) A0, Min, Max, Index Value * 1000 + 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100)","VIIRS, EVI, Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2020,Yes,https://tinyurl.com/tfaviirs12201k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er2014a0.png,,,"Lyme, TBE, WNV, USUTU",,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120021,21
NO,2013_FarmLabour_ER,"Farm Labour. 

Abstract: Eurostat farm labour by NUTS areas. FAOSTAT agricultural labour by country. xlsx files.","Farm Labour, Eurosat, Europe","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/farmlabourer13,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/erfarmlabour1.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120022,22
NO,2017_RoadDensity_OSM_ER,"Road density for unclassified, minor, major and autoroutes 2017. 

Abstract: This dataset was produced by extracting all rood data from national level Open Steet Map archuves for 2017. The length of each type of road was calcluated for a series of 5 square km grids covering the MOOD study area.",road density,"ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/RoadDensityerOSM17,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overvieow_roadDensity_OSM5k.png,,,"Lyme, Mosquito borne Flaviviruses, Covid",,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120023,23
NO,2019_2020_ERA5_MonthlyPrecipitation_FourierProcessed,"This is a set of images produced by temporal Fourier analysis of Monthly precipiation proivided by the ERA5 dataset for the period 2019-2020n from the European Centre for Medium Range Weather forecasting. The imagery summarises a key environmental indicator, incorporating seasonal dynamics, for the MOOD study area. 

Abstract: Monthly precipitation values were extracted from ERA5 files for the years 2019 through to 2020, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The MO at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection.
 
 The next two characters identify the channel:
 19 - precipitation and 20 refers to the year timeline of 2019-2020.
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
  A0, A1, A2, A3, Index Value * 10
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100","Precipitaion, ERA5 ECMWF, Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/TFAera5monPre1920,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_19_20_a1.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120024,24
